label,total_penalty_INR,peak_penalty_INR,offpeak_penalty_INR,under_forecast_penalty,over_forecast_penalty,bias_kW,bias_pct,p95_abs_dev_kW,MAE,RMSE,MAPE
Naive (Same Week Ago),449382.68623700005,63176.909566999995,386205.77667000005,383488.284998,65894.401239,29.459209096441942,2.441706694444803,158.51945000000006,60.30864787874532,83.37878197442157,5.0766415011097
LightGBM MSE (Baseline),252564.56298490078,38594.75688012311,213969.80610477767,186933.24176719907,65631.32121770173,6.51575366711091,0.540053851963715,101.95292368697518,37.242027645435684,51.37051581531019,3.029554421387132
LightGBM Quantile 0.667,227257.42224840733,38183.688878497254,189073.73336991007,130700.3405588101,96557.08168959722,-7.304988625981317,-0.6054690596923058,101.62842790560354,37.899637633193414,53.72715821435707,3.1882549615458435
LightGBM Quantile 0.90,281754.90132192045,39963.372374364124,241791.52894755633,29869.87853841693,251885.02278350352,-55.46584351926382,-4.597249063633947,175.90496469523396,62.45785628574719,84.50866894222682,5.729352476417656
HYBRID (q67 off-peak + q90 peak),229037.1057442742,39963.372374364124,189073.73336991007,112317.929693213,116719.1760510612,-14.17607940179183,-1.1749747884615414,113.11171208948694,40.46772961087727,57.52981536061802,3.401751396228842
