Strategy,Total_Penalty_INR,Peak_Penalty_INR,OffPeak_Penalty_INR,MAE_kW,RMSE_kW,MAPE_pct,Bias_kW
Naive,1266619.4419561555,134885.97444699117,1131733.467509164,125.92456796020669,153.50731360945562,9.787473081477552,47.69470121046336
MSE,606473.7479545939,88983.2068191043,517490.5411354896,62.54958231366377,81.67384970751182,4.982260401914189,16.07102059498246
Q0.67,384116.66811921226,59250.36506881365,324866.3030503986,50.008865035947345,71.53018409868767,4.157399600457039,-20.998490264304134
Q0.90,527778.909630422,96524.82610295685,431254.08352746506,84.759666316344,108.74232942297705,7.216646810751874,-76.99350696702935
HYBRID,421391.1291533555,96524.82610295685,324866.3030503986,57.54841927605376,81.34663178418351,4.797194313915552,-31.096339738354278
